time side pressure1 pressure2 pressure3 pressure4 pressure5 pressure6 pressure7 pressure8 pressure9 pressure10 pressure11 pressure12 pressure13 pressure14 pressure15 pressure16 acc1 acc2 acc3 ang1 ang2 ang3 totalForce cop1 cop2 
20602800 1 22 25 24 27 10 9 2 6 0 0 0 0 4 6 0 0 -0.22802734375 0.0146484375 0.96533203125 -0.8400000333786011 -5.949999809265137 1.75 329 -0.23952877521514893 -0.07753446698188782 
20602808 1 22 25 24 26 10 11 2 6 0 0 0 0 4 6 0 0 -0.2275390625 0.01953125 0.9677734375 -0.9800000190734863 -5.809999942779541 1.75 331 -0.23785291612148285 -0.07935385406017303 
20610620 0 11 5 13 11 1 6 1 9 2 2 1 2 3 10 1 2 -0.228515625 0.03515625 0.970703125 -0.7699999809265137 3.569999933242798 -1.0499999523162842 198 -0.09669751673936844 -0.08852094411849976 
20610628 0 9 7 14 10 2 6 1 10 2 1 1 2 4 11 0 2 -0.23779296875 0.0341796875 0.96533203125 -1.0499999523162842 3.7100000381469727 -0.9800000190734863 203 -0.0972886011004448 -0.09713693708181381 
20610638 0 8 7 13 10 2 6 1 10 3 1 1 2 3 11 0 1 -0.23779296875 0.0341796875 0.96533203125 -1.0499999523162842 3.7100000381469727 -0.9800000190734863 197 -0.09167199581861496 -0.09133496880531311 
20610648 0 9 7 12 11 2 6 1 10 3 2 1 2 3 10 0 1 -0.236328125 0.0361328125 0.9609375 -0.9100000262260437 3.640000104904175 -0.9800000190734863 200 -0.09656668454408646 -0.09372459352016449 
20602818 1 21 25 24 26 10 11 2 6 1 0 0 0 4 6 0 0 -0.2275390625 0.0185546875 0.96044921875 -1.190000057220459 -5.880000114440918 1.75 332 -0.23221299052238464 -0.07750575244426727 
20602828 1 21 24 24 26 10 10 2 5 0 0 0 0 4 5 0 0 -0.228515625 0.0166015625 0.966796875 -1.5399999618530273 -5.809999942779541 1.6800000667572021 319 -0.24255600571632385 -0.07683416455984116 
20602840 1 21 25 25 27 10 10 3 6 1 0 0 0 3 5 0 0 -0.2255859375 0.01611328125 0.97021484375 -1.6800000667572021 -5.53000020980835 1.6100000143051147 334 -0.23638610541820526 -0.07173720747232437 
20610660 0 11 5 13 11 1 6 1 10 2 2 1 2 4 10 0 2 -0.2265625 0.0341796875 0.96337890625 -0.8400000333786011 3.5 -0.9100000262260437 201 -0.09865257889032364 -0.09754583239555359 
20610668 0 11 5 13 12 2 5 1 9 3 1 1 2 4 10 1 2 -0.23828125 0.0380859375 0.966796875 -0.8400000333786011 3.2899999618530273 -0.8400000333786011 203 -0.09485872834920883 -0.0861947238445282 
20602848 1 21 26 25 26 11 10 3 6 2 0 0 0 3 7 0 0 -0.232421875 0.0126953125 0.966796875 -1.5399999618530273 -5.460000038146973 1.6800000667572021 343 -0.2246113270521164 -0.06435985118150711 
20602858 1 20 25 24 26 11 11 2 6 0 0 0 0 3 7 0 0 -0.23193359375 0.0107421875 0.9677734375 -1.4700000286102295 -5.320000171661377 1.6100000143051147 329 -0.23321861028671265 -0.07714473456144333 
20602868 1 21 25 24 26 12 10 2 6 0 0 0 0 2 7 0 0 -0.22900390625 0.01513671875 0.96875 -1.4700000286102295 -5.53000020980835 1.5399999618530273 329 -0.23666912317276 -0.07094321399927139 
20610678 0 10 7 13 12 2 5 1 9 3 2 1 2 4 9 0 2 -0.228515625 0.0380859375 0.96240234375 -0.9800000190734863 3.0799999237060547 -0.7699999809265137 203 -0.10486645251512527 -0.09095607697963715 
20610688 0 11 7 13 12 2 6 1 9 2 2 2 2 3 9 0 2 -0.23583984375 0.0400390625 0.96337890625 -1.2599999904632568 3.2200000286102295 -1.1200000047683716 205 -0.11295908689498901 -0.09287384897470474 
20610700 0 11 7 13 12 2 6 1 10 1 2 1 2 3 8 0 2 -0.234375 0.0361328125 0.96923828125 -1.3300000429153442 3.2200000286102295 -1.1200000047683716 201 -0.12584011256694794 -0.10584563761949539 
20602880 1 21 25 24 26 12 9 2 5 1 0 0 0 2 6 0 0 -0.23291015625 0.01708984375 0.96826171875 -1.4700000286102295 -5.670000076293945 1.6100000143051147 324 -0.2390802949666977 -0.0642649233341217 
20602888 1 19 25 26 26 12 9 2 6 1 0 0 0 3 6 0 0 -0.232421875 0.013671875 0.96533203125 -1.4700000286102295 -5.320000171661377 1.6100000143051147 330 -0.23227839171886444 -0.07022196799516678 
20602898 1 20 25 25 26 12 9 3 6 0 0 0 0 3 7 0 0 -0.228515625 0.01416015625 0.96875 -1.5399999618530273 -5.25 1.4700000286102295 332 -0.23057547211647034 -0.06853767484426498 
20610708 0 11 8 13 13 2 7 1 10 1 2 1 2 4 8 0 2 -0.23681640625 0.03271484375 0.9716796875 -1.0499999523162842 3.2899999618530273 -0.9800000190734863 210 -0.12818944454193115 -0.11321594566106796 
20602908 1 20 25 24 26 10 8 3 5 0 0 0 0 3 6 0 0 -0.23046875 0.02197265625 0.9638671875 -1.6800000667572021 -5.110000133514404 1.3300000429153442 317 -0.2389342337846756 -0.0682336688041687 
20610718 0 11 8 13 13 2 7 1 10 2 2 1 2 3 7 1 2 -0.22900390625 0.037109375 0.96240234375 -0.9800000190734863 3.2200000286102295 -1.0499999523162842 212 -0.1244397982954979 -0.10678818821907043 
20610728 0 11 7 13 12 2 6 1 10 2 1 2 2 3 8 1 2 -0.2353515625 0.037109375 0.9677734375 -0.8400000333786011 3.2200000286102295 -0.9100000262260437 207 -0.11421962827444077 -0.10213468223810196 
20602920 1 20 25 24 26 10 9 2 5 0 0 0 0 4 6 0 0 -0.2275390625 0.01220703125 0.9677734375 -1.75 -5.110000133514404 1.3300000429153442 318 -0.239194855093956 -0.07571084052324295 
20602928 1 20 25 24 26 10 9 2 6 0 0 0 0 3 6 0 0 -0.2275390625 0.01318359375 0.97119140625 -1.6800000667572021 -5.25 1.190000057220459 319 -0.23927658796310425 -0.07674174755811691 
20602938 1 20 25 24 26 11 10 3 6 1 0 0 0 5 6 0 0 -0.22509765625 0.01806640625 0.96533203125 -1.5399999618530273 -5.460000038146973 1.190000057220459 335 -0.22515080869197845 -0.07528596371412277 
20610740 0 11 5 13 13 2 6 1 10 2 1 2 2 2 8 0 2 -0.2333984375 0.0341796875 0.96826171875 -0.699999988079071 3.1500000953674316 -0.8400000333786011 201 -0.11913974583148956 -0.09899228811264038 
20610748 0 11 7 13 13 1 8 1 10 2 2 1 2 3 8 0 2 -0.23193359375 0.04052734375 0.96875 -0.42000001668930054 3.2200000286102295 -0.8400000333786011 209 -0.12294688075780869 -0.10781271010637283 
